program,nature,details,req,other,co_co,el_co,to_cr,co_cr,el_cr,to_co,co_co,el_co
History,minor,"A graduate in History from FCCU is expected to have, at the time of his/her graduation, the ability to: Demonstrate mastery of historical concepts and theories and apply them to historical fact in the context of their times and subsequent historical events; Demonstrate an understanding of the history and current situation of Pakistan in the context of South Asian and world history; Demonstrate skills in research methodology in history; Demonstrate a critical approach to primary and secondary sources; Present ideas and research efforts in a scholarly and clear manner in English, both orally and in writing; Integrate a broad understanding of civilizations and cultures throughout the world and apply knowledge to current and future events; Show appreciation for the importance of historical events to ordinary people; Integrate and apply the knowledge of historical concepts, theories, facts and trends into other academic subjects and in future scholarship and employment.","General Requirements:
CGPA > 2.0
Total credits > 124
number of 300/400 level courses > 12

Note: General Education requirement of 2 Humanities courses are covered by the core courses

Minor Requirements:
Minor CGPA > 2.0
Completion of all core and elective courses
1 elective course in Post-Mughal South Asia
1 elective course in non-South Asia","Post-Mughal South Asia 
HIST 308
HIST 310
HIST 311
HIST 313
HIST 315
HIST410

Non-South Asia
HIST 202
HIST 204
HIST 207
HIST 306
HIST 312
HIST 320","HIST 101
HIST 102
HIST 201","HIST 103
HIST 202
HIST 204
HIST 207
HIST 250
HIST 255
HIST 301
HIST 302
HIST 303
HIST 305
HIST 306
HIST 308
HIST 310
HIST 311
HIST 312
HIST 313
HIST 315
HIST 320
HIST 400
HIST 410
HIST 496",18,9,9,6,3,3
Islmaic Studies,minor,"A graduate in Islamic Studies from FCCU is expected to have, at the time of his/her graduation, the ability to: Explain fundamental concepts and intellectual basis of various branches of Islamic Studies; Recite, translate, and interpret texts of the Holy Quran, Hadith and other sources of Islam; Diagnose and solve everyday problems in the light of Islamic teachings, principles and values; Develop research proposals, select method and design, collect analyze material, and evaluate results; Demonstrate respect for diversity and apply Golden Rule (No one of you is a believer until he desires for his brother that which he desires for himself) as the fundamental principle of actions; Formulate a personal plan for inner process of spiritual development and personal growth.","General Requirements:
CGPA > 2.0
Total credits > 124
number of 300/400 level courses > 12

Note: General Education requirement of 2 humanities courses are covered by the core courses

Minor Requirements:
Minor CGPA > 2.0
Completion of all core and elective courses",,"ISLM 104
ISLM 202
ISLM 401","ISLM 101
ISLM 103
ISLM 201
ISLM 301
ISLM 302
ISLM 303
ISLM 304
ISLM 305
ISLM 306
ISLM 402
ISLM 403
ISLM 407",18,9,9,6,3,3
Linguistics,minor,"A graduate in Linguistics from FCCU is expected to have, at the time of his/her graduation, the ability to: The students will apply and analyze the theoretical concepts and empirical findings of modern linguistics, its relationship to other disciplines and to describe the synchronic and diachronic changes that English has been going through; The students will appraise the production, perception and transmission of speech sounds and their meaningful combinations in various varieties of English; The students will identify, analyze, and interpret the internal structure of words, phrases and sentences and the rules that govern them; The students will describe and differentiate meanings in real and contextual settings through various theoretical approaches of meaning formation and demonstrate insight into inter and intra cultural communication; The students will theoretically analyze and critique the role of psychology, sociology, power, dominance, and social inequalities in acquiring, learning and using language effectively; The students will identify topics, formulate questions for productive inquiry, use appropriate methods and sources for research, evaluate critically the sources they find, and employ their chosen sources effectively in their own writing; The students will demonstrate integrity by writing plagiarism-free academic papers and will also abide by the FCCU core values.","General Requirements:
CGPA > 2.0
Total credits > 124
number of 300/400 level courses > 12

Note: General Education requirement of 2 humanities courses are covered by the core courses

Minor Requirements:
Minor CGPA > 2.0
Completion of all core and elective courses",,"LING 207
LING 217
LING 301
LING 302
LING 304
LING 319
LING 410
LING 413
LING 495
LING 498
LING 499","LING 308
LING 309
LING 315
LING 320
LING 333
LING 340
LING 343
LING 353
LING 370
LING 379
LING 414
LING 415
LING 422
LING 429
LING 441
LING 442
LING 450",24,24,0,8,8,0
Mass Communication,minor,"A graduate in Mass Communication from FCCU is expected to have, at the time of his/her graduation, the ability to: Explain the nature and working of print and electronic media; Demonstrate skills for employment in advertising, public relations, print and electronic media; Describe important mass communication roles of media managers, administrators and researchers; Analyze principles and strategies of communication; Analyze areas of media’s effect on individuals and society; Evaluate media laws and ethics.","General Requirements:
CGPA > 2.0
Total credits > 124
number of 300/400 level courses > 12

Note: General Education requirement of 2 humanities courses are covered by the core courses

Minor Requirements:
Minor CGPA > 2.0
Completion of all core and elective courses",,"MCOM 201
MCOM 301
MCOM 414","MCOM 101
MCOM 110
MCOM 195
MCOM 200
MCOM 202
MCOM 203
MCOM 207
MCOM 290
MCOM 302
MCOM 303
MCOM 304
MCOM 308
MCOM 310
MCOM 315
MCOM 350
MCOM 400
MCOM 401
MCOM 402
MCOM 403
MCOM 404
MCOM 410
MCOM 412
MCOM 413
MCOM 415
MCOM 430
MCOM 409",18,12,6,6,4,2
Mathematics,minor,"A graduate in Mathematics from FCCU is expected to have, at the time of his/her graduation, the ability to: Student will demonstrate diverse mathematical principles and their specific employment in applied and theoretical branches of the discipline; Students will solve problems using analytical and computational methods; Students will demonstrate subject knowledge into building up a theoretical and critical premise for the solution of problems of abstract nature; Students will apply mathematical expertise to assimilate and interpret the information in other disciplines and scientific pursuits; Students will be able to employ logical reasoning and methodical insight into conducting their affairs in consideration with principles of ethics and integrity; Student will be able to pursue advanced degrees, research and career in related domains.
","General Requirements:
CGPA > 2.0
Total credits > 124
number of 300/400 level courses > 12

Note: General Education requirement of 1 math course and 1 course from any domain are covered by the core courses

Minor Requirements:
Minor CGPA > 2.0
Completion of all core and elective courses",,"MATH 102
MATH 103
MATH 201
MATH 202","MATH 203
MATH 209
MATH 212
MATH 301
MATH 302
MATH 303
MATH 304
MATH 307
MATH 308
MATH 309
MATH 310
MATH 311
MATH 312
MATH 313
MATH 314
MATH 315
MATH 316
MATH 401
MATH 402
MATH 403
MATH 404
MATH 406
MATH 407
MATH 408
MATH 409
MATH 410
MATH 411",24,12,12,8,4,4
Mathematics and Statistics,minor,,"General Requirements:
CGPA > 2.0
Total credits > 124
number of 300/400 level courses > 12

Note: General Education requirement of 1 math course and 1 course from any domain are covered by the core courses

Minor Requirements:
Minor CGPA > 2.0
Completion of all core and elective courses
1 elective course from MATHS
1 elective course from STATS",,"STAT 102
STAT 201
MATH 102
MATH 103","STAT 201
STAT 202
STAT 208
STAT 301
STAT 303
STAT 304
STAT 311
STAT 313
STAT 315
STAT 401
MATH 201
MATH 202
MATH 203
MATH 209
MATH 212
MATH 303
MATH 304
MATH 310
MATH 312
MATH 314
MATH 315
MATH 408",18,12,6,6,4,2
Philosophy,minor,"A graduate in Philiosophy from FCCU is expected to have, at the time of his/her graduation, the ability to: Know the major philosophical movements through the history of philosophy past to present; Understand the various methods that have been used to identify and resolve philosophical problems; Analyze philosophical arguments; Apply critical thinking to whole life issues, that is, career, recreation, self development, etc.","General Requirements:
CGPA > 2.0
Total credits > 124
number of 300/400 level courses > 12

Note: General Education requirement of 2 Humanities courses and 1 course from any domain are covered by the core courses

Minor Requirements:
Minor CGPA > 2.0
Completion of all core and elective courses",,"PHIL 101
PHIL 201
PHIL 202
PHIL 221","PHIL 231
PHIL 301
PHIL 303
PHIL 304
PHIL 322
PHIL 325
PHIL 331
PHIL 332
PHIL 341
PHIL 342
PHIL 401
PHIL 411
PHIL 421
PHIL 440",18,12,6,6,4,2
Physics,minor,"A graduate in Physics from FCCU is expected to have, at the time of his/her graduation, the ability to: To impart fundamental knowledge and skills in physics; To train the students to conduct and interpret scientific experiments; To emphasize on mathematical skills; To use the physics knowledge for betterment of the society; To produce competent future physicists.","General Requirements:
CGPA > 2.0
Total credits > 124
number of 300/400 level courses > 12

Note: General Education requirement of 1 science lab course and 1 course from any domain are covered by the core courses

Minor Requirements:
Minor CGPA > 2.0
Completion of all core and elective courses",,"PHYS 103
PHYS 104
PHYS 221
PHYS 222","PHYS 234
PHYS 255
PHYS 300
PHYS 301
PHYS 321
PHYS 331
PHYS 332
PHYS 334
PHYS 341
PHYS 342
PHYS 351
PHYS 352
PHYS 353
PHYS 422
PHYS 451
PHYS 460
PHYS 461
PHYS 462
PHYS 472
PHYS 481
PHYS 482
PHYS 483",25,16,9,7,4,3
Political Science,minor,"A graduate in Political Science from FCCU is expected to have, at the time of his/her graduation, the ability to: Demonstrate in-depth knowledge of the major concepts of politics; Think critically and analytically with a view to developing the habit of lifelong learning; Learn appropriate skills for careers in foreign and domestic service, politics, law school, teaching, research, and graduate study in Political Science; Function as active citizens in keeping with high ethical standards; Write analytically on an issue and present it effectively to an audience.","General Requirements:
CGPA > 2.5
Total credits > 124
number of 300/400 level courses > 12

Note: General Education requirement of 2 Social Science courses are covered by the core courses

Minor Requirements:
Minor CGPA > 2.5
Completion of all core and elective courses
2 elective courses of 100/200 level
3 elective courses of 300/400 level",,PLSC 101,"PLSC 102
PLSC 201
PLSC 202
PLSC 203
PLSC 204
PLSC 212
PLSC 301
PLSC 302
PLSC 303
PLSC 304
PLSC 305
PLSC 310
PLSC 311
PLSC 317
PLSC 321
PLSC 322
PLSC 323
PLSC 330
PLSC 331
PLSC 335
PLSC 336
PLSC 340
PLSC 341
PLSC 342
PLSC 400
PLSC 401
PLSC 402
PLSC 403
PLSC 412
PLSC 413",18,3,15,6,1,5
Psycology,minor,"A graduate in Psycology from FCCU is expected to have, at the time of his/her graduation, the ability to: Demonstrate an understanding of major psychological theories and concepts; Effective application of statistics and research methods used by psychologists to make and implement a research proposal; Think critically about psychological concepts, theories, and research; Display cultural sensitivity while employing psychological theories and concept to collectivistic culture of Pakistan; Effectively apply different psychological theories to describe behavior and to conceptualize a case; Effectively choose the field of psychology to pursue Master’s or Doctorate; Implementation of ethical principles in Psychology to all areas of psychology.","General Requirements:
CGPA > 2.0
Total credits > 124
number of 300/400 level courses > 12

Note: General Education requirement of 2 Social Science courses are covered by the core courses

Minor Requirements:
Minor CGPA > 2.0
Completion of all core and elective courses",,"PSYC 100
PSYC 150","PSYC 175
PSYC 200
PSYC 220
PSYC 240
PSYC 280
PSYC 290
PSYC 300
PSYC 301
PSYC 305
PSYC 310
PSYC 315
PSYC 330
PSYC 340
PSYC 350
PSYC 360
PSYC 375
PSYC 385
PSYC 415
PSYC 430
PSYC 440
PSYC 450
PSYC 465",18,6,12,6,2,4
Sociology,minor,"A graduate in Sociology from FCCU is expected to have, at the time of his/her graduation, the ability to: To teach students concepts and theories in sociology, anthropology, gender studies, development, and cultural studies; To develop students' understanding of research methods, analysis techniques and communication skills used in Sociology and other Social Sciences; To teach students about the importance of values such as community service, integrity, respect and dignity of humans, and discipline in addition to professional ethics in sociology and other social sciences; To facilitate students in developing and recognizing various professional skills and opportunities in Sociology and other social sciences.","General Requirements:
CGPA > 2.0
Total credits > 124
number of 300/400 level courses > 12

Note: General Education requirement of 2 Social Science courses are covered by the core courses

Minor Requirements:
Minor CGPA > 2.0
Completion of all core and elective courses
2 elective courses of 300/400 level",,"SOCL 100
SOCL 301","SOCL 101
SOCL 103
SOCL 110
SOCL 150
SOCL 170
SOCL 180
SOCL 192
SOCL 201
SOCL 202
SOCL 203
SOCL 220
SOCL 223
SOCL 270
SOCL 290
SOCL 291
SOCL 301
SOCL 305
SOCL 325
SOCL 335
SOCL 350
SOCL 355
SOCL 363
SOCL 370
SOCL 390
SOCL 410
SOCL 423
SOCL 425
SOCL 430
SOCL 435
SOCL 445
SOCL 450
SOCL 455
SOCL 465
SOCL 494",18,6,12,6,2,4
Statistics,minor,"A graduate in Statistics from FCCU is expected to have, at the time of his/her graduation, the ability to: Demonstrate knowledge about basic statistical concepts, terms and techniques; Analyze various types of data and interpret the results effectively; Think critically about applications of statistics in various fields; Practice high moral and ethical values in their personal and professional lives and in their communities.

Note: A student cannot elect for both the Minor in Data Analytics and Minor in Statistics.","General Requirements:
CGPA > 2.0
Total credits > 124
number of 300/400 level courses > 12

Note: General Education requirement of 1 course from any domain is covered by the core courses

Minor Requirements:
Minor CGPA > 2.0
Completion of all core and elective courses",,,"STAT 101
STAT 102
STAT 103
STAT 115
STAT 201
STAT 202
STAT 206
STAT 207
STAT 208
STAT 212
STAT 301
STAT 302
STAT 303
STAT 304
STAT 305
STAT 307
STAT 308
STAT 309
STAT 310
STAT 311
STAT 313
STAT 314
STAT 315
STAT 317
STAT 400
STAT 401
STAT 403
STAT 406
STAT 407
STAT 408
STAT 410
STAT 412
STAT 414",24,0,24,8,0,8
Urdu,minor,"A graduate in Urdu from FCCU is expected to have, at the time of his/her graduation, the ability to: Reading: become accomplished, active readers who appreciate ambiguity and complexity, and who can articulate their own interpretations with an awareness and curiosity for other perspectives; Writing skills and process: write effectively for a variety of professional and social settings, practice writing as a process of motivated inquiry, engaging other writers’ ideas as they explore and develop their own, and develop an awareness of and confidence in the voice as a writer; Oral communication skills: demonstrate the skills needed to participate in a conversation that builds knowledge collaboratively, listening carefully and respectfully to others’ viewpoints, articulating ideas and questions clearly, situating ideas in relation to other voices and ideas, and preparing, organizing and delivering an engaging oral presentation; Critical Approaches: express ideas as informed opinions that are in dialogue with a larger community of interpreters, and understand how an approach compares to the variety of critical and theoretical approaches; Research Skills: identify topics and formulate questions for productive inquiry, identify appropriate methods and sources for research and evaluate critically the sources found, and use their chosen sources effectively in writing, citing all sources appropriately; Culture and History: gain a knowledge of the major traditions of literatures written in Urdu, an appreciation for the diversity of literary and social voices within and sometimes marginalized by those traditions, develop an ability to read texts in relation to historical and cultural contexts in order to gain a richer understanding of both text and context, and become more aware of self as situated historically and culturally.","General Requirements:
CGPA > 2.0
Total credits > 124
number of 300/400 level courses > 12

Note: General Education requirement of 2 Humanities courses are covered by the core courses

Minor Requirements:
Minor CGPA > 2.0
Completion of all core and elective courses",,"URDU 208
URDU 303
URDU 401","URDU 101
URDU 103
URDU 104
URDU 201
URDU 202
URDU 203
URDU 204
URDU 205
URDU 206
URDU 207
URDU 301
URDU 302
URDU 304
URDU 305
URDU 306
URDU 402
URDU 403
URDU 405",18,9,9,6,3,3
Accounting and Finance,specialization,"A graduate in Business Studies from FCCU is expected to have, at the time of his/her graduation, the ability to: Describe key concepts and theory of best practice in management, finance, and marketing; Demonstrate technical rigor for analysis and decision making in business; Apply leadership skills for effective future business management; Analyze the demands of the local environment and apply business skills and tools to the real world; Employ interpersonal and communications skills required by effective managers; Consistently use values and ethics in a business environment; Describe entrepreneurial career opportunities that serve the needs of Pakistan and the international community.","General Requirements:
CGPA > 2.0
Total credits > 124
number of 300/400 level courses > 12

Note: General Education requirement of 2 Social Science courses are covered by the core courses

Specialization Requirements:
Specialization CGPA > 2.0
Completion of all core and elective courses",,"BUSN 101
BUSN 121
BUSN 160
BUSN 170
BUSN 201
BUSN 206
BUSN 225
BUSN 230
BUSN 250
BUSN 280
BUSN 321
BUSN 360
BUSN 370
BUSN 398
BUSN 460
BUSN 490
BUSN 498
BUSN 301
BUSN 305
BUSN 322
BUSN 401
BUSN 404
BUSN 410",,73,73,0,23,23,0
Advertising and Public Relations,specialization,"A graduate in Mass Communication from FCCU is expected to have, at the time of his/her graduation, the ability to: Explain the nature and working of print and electronic media; Demonstrate skills for employment in advertising, public relations, print and electronic media; Describe important mass communication roles of media managers, administrators and researchers; Analyze principles and strategies of communication; Analyze areas of media’s effect on individuals and society; Evaluate media laws and ethics.","General Requirements:
CGPA > 2.0
Total credits > 124
number of 300/400 level courses > 12

Note: General Education requirement of 2 Social Science courses are covered by the core courses

Specialization Requirements:
Specialization CGPA > 2.0
Completion of all core and elective courses",,"MCOM 201
MCOM 301
MCOM 414
MCOM 409
MCOM 498
MCOM 499
MCOM 200
MCOM 303
MCOM 304
MCOM 400
MCOM 415","MCOM 101
MCOM 110
MCOM 195
MCOM 202
MCOM 203
MCOM 207
MCOM 290
MCOM 302
MCOM 308
MCOM 310
MCOM 315
MCOM 350
MCOM 401
MCOM 402
MCOM 403
MCOM 404
MCOM 410
MCOM 412
MCOM 413
MCOM 430",48,33,15,16,11,5
Comparative Politics,specialization,"A graduate in Political Science from FCCU is expected to have, at the time of his/her graduation, the ability to: Demonstrate in-depth knowledge of the major concepts of politics; Think critically and analytically with a view to developing the habit of lifelong learning; Learn appropriate skills for careers in foreign and domestic service, politics, law school, teaching, research, and graduate study in Political Science; Function as active citizens in keeping with high ethical standards; Write analytically on an issue and present it effectively to an audience.","General Requirements:
CGPA > 2.0
Total credits > 124
number of 300/400 level courses > 12

Note: General Education requirement of 2 Social Science courses are covered by the core courses

Specialization Requirements:
Specialization CGPA > 2.0
Completion of all core and elective courses",,"PLSC 101
PLSC 102
PLSC 203
PLSC 212
PLSC 301
PLSC 302
PLSC 304
PLSC 403
PLSC 201
PLSC 202
PLSC 310
PLSC 311
PLSC 317
PLSC 331
PLSC 340
PLSC 341
PLSC 342",,51,51,0,17,17,0
Human Resource Management,specialization,"A graduate in Business Studies from FCCU is expected to have, at the time of his/her graduation, the ability to: Describe key concepts and theory of best practice in management, finance, and marketing; Demonstrate technical rigor for analysis and decision making in business; Apply leadership skills for effective future business management; Analyze the demands of the local environment and apply business skills and tools to the real world; Employ interpersonal and communications skills required by effective managers; Consistently use values and ethics in a business environment; Describe entrepreneurial career opportunities that serve the needs of Pakistan and the international community.","General Requirements:
CGPA > 2.0
Total credits > 124
number of 300/400 level courses > 12

Note: General Education requirement of 2 Social Science courses are covered by the core courses

Specialization Requirements:
Specialization CGPA > 2.0
Completion of all core and elective courses",,"BUSN 101
BUSN 121
BUSN 160
BUSN 170
BUSN 201
BUSN 206
BUSN 225
BUSN 230
BUSN 250
BUSN 280
BUSN 321
BUSN 360
BUSN 370
BUSN 398
BUSN 460
BUSN 490
BUSN 498
BUSN 350
BUSN 353
BUSN 354
BUSN 450
BUSN 451
BUSN 453",,73,73,0,23,23,0
International Relations,specialization,"A graduate in Political Science from FCCU is expected to have, at the time of his/her graduation, the ability to: Demonstrate in-depth knowledge of the major concepts of politics; Think critically and analytically with a view to developing the habit of lifelong learning; Learn appropriate skills for careers in foreign and domestic service, politics, law school, teaching, research, and graduate study in Political Science; Function as active citizens in keeping with high ethical standards; Write analytically on an issue and present it effectively to an audience.","General Requirements:
CGPA > 2.0
Total credits > 124
number of 300/400 level courses > 12

Note: General Education requirement of 2 Social Science courses are covered by the core courses

Specialization Requirements:
Specialization CGPA > 2.0
Completion of all core and elective courses",,"PLSC 101
PLSC 102
PLSC 203
PLSC 212
PLSC 301
PLSC 302
PLSC 304
PLSC 403
PLSC 413
PLSC 310
PLSC 321
PLSC 322
PLSC 323
PLSC 400
PLSC 401
PLSC 412",,48,48,0,16,16,0
Marketing and Sales Management,specialization,"A graduate in Business Studies from FCCU is expected to have, at the time of his/her graduation, the ability to: Describe key concepts and theory of best practice in management, finance, and marketing; Demonstrate technical rigor for analysis and decision making in business; Apply leadership skills for effective future business management; Analyze the demands of the local environment and apply business skills and tools to the real world; Employ interpersonal and communications skills required by effective managers; Consistently use values and ethics in a business environment; Describe entrepreneurial career opportunities that serve the needs of Pakistan and the international community.","General Requirements:
CGPA > 2.0
Total credits > 124
number of 300/400 level courses > 12

Note: General Education requirement of 2 Social Science courses are covered by the core courses

Specialization Requirements:
Specialization CGPA > 2.0
Completion of all core and elective courses",,"LING 207
LING 217
LING 301
LING 302
LING 304
LING 319
LING 410
LING 413
LING 499",,73,73,0,23,23,0
Operations Management,specialization,"A graduate in Business Studies from FCCU is expected to have, at the time of his/her graduation, the ability to: Describe key concepts and theory of best practice in management, finance, and marketing; Demonstrate technical rigor for analysis and decision making in business; Apply leadership skills for effective future business management; Analyze the demands of the local environment and apply business skills and tools to the real world; Employ interpersonal and communications skills required by effective managers; Consistently use values and ethics in a business environment; Describe entrepreneurial career opportunities that serve the needs of Pakistan and the international community.","General Requirements:
CGPA > 2.0
Total credits > 124
number of 300/400 level courses > 12

Note: General Education requirement of 2 Social Science courses are covered by the core courses

Specialization Requirements:
Specialization CGPA > 2.0
Completion of all core and elective courses",,"BUSN 101
BUSN 121
BUSN 160
BUSN 170
BUSN 201
BUSN 206
BUSN 225
BUSN 230
BUSN 250
BUSN 280
BUSN 321
BUSN 360
BUSN 370
BUSN 398
BUSN 361
BUSN 364
BUSN 368
BUSN 461
BUSN 464
BUSN 469",,73,73,0,23,23,0
Pakistan Politics,specialization,"A graduate in Political Science from FCCU is expected to have, at the time of his/her graduation, the ability to: Demonstrate in-depth knowledge of the major concepts of politics; Think critically and analytically with a view to developing the habit of lifelong learning; Learn appropriate skills for careers in foreign and domestic service, politics, law school, teaching, research, and graduate study in Political Science; Function as active citizens in keeping with high ethical standards; Write analytically on an issue and present it effectively to an audience.","General Requirements:
CGPA > 2.0
Total credits > 124
number of 300/400 level courses > 12

Note: General Education requirement of 2 Social Science courses are covered by the core courses

Specialization Requirements:
Specialization CGPA > 2.0
Completion of all core and elective courses",,"PLSC 101
PLSC 102
PLSC 203
PLSC 212
PLSC 301
PLSC 302
PLSC 304
PLSC 403
PLSC 317
PLSC 321
PLSC 330
PLSC 335
PLSC 336
PLSC 400","PLSC 201
PLSC 202
PLSC 204
PLSC 303
PLSC 305
PLSC 310
PLSC 311
PLSC 322
PLSC 323
PLSC 331
PLSC 340
PLSC 341
PLSC 342
PLSC 401
PLSC 402
PLSC 412
PLSC 413
PLSC 498
PLSC 499",48,42,6,16,14,2
Political philosophy,specialization,"A graduate in Political Science from FCCU is expected to have, at the time of his/her graduation, the ability to: Demonstrate in-depth knowledge of the major concepts of politics; Think critically and analytically with a view to developing the habit of lifelong learning; Learn appropriate skills for careers in foreign and domestic service, politics, law school, teaching, research, and graduate study in Political Science; Function as active citizens in keeping with high ethical standards; Write analytically on an issue and present it effectively to an audience.","General Requirements:
CGPA > 2.0
Total credits > 124
number of 300/400 level courses > 12

Note: General Education requirement of 2 Social Science courses are covered by the core courses

Specialization Requirements:
Specialization CGPA > 2.0
Completion of all core and elective courses",,"PLSC 101
PLSC 102
PLSC 203
PLSC 212
PLSC 301
PLSC 302
PLSC 304
PLSC 403
PLSC 303
PLSC 305
PLSC 402
PLSC 413","PLSC 201
PLSC 202
PLSC 204
PLSC 310
PLSC 311
PLSC 317
PLSC 321
PLSC 322
PLSC 323
PLSC 330
PLSC 331
PLSC 335
PLSC 336
PLSC 340
PLSC 341
PLSC 342
PLSC 400
PLSC 401
PLSC 412
PLSC 498
PLSC 499",48,36,12,16,12,4
Print and Electronic Media,specialization,"A graduate in Mass Communication from FCCU is expected to have, at the time of his/her graduation, the ability to: Explain the nature and working of print and electronic media; Demonstrate skills for employment in advertising, public relations, print and electronic media; Describe important mass communication roles of media managers, administrators and researchers; Analyze principles and strategies of communication; Analyze areas of media’s effect on individuals and society; Evaluate media laws and ethics.","General Requirements:
CGPA > 2.0
Total credits > 124
number of 300/400 level courses > 12

Note: General Education requirement of 2 humanities courses are covered by the core courses

Specialization Requirements:
Specialization CGPA > 2.0
Completion of all core and elective courses",,"MCOM 201
MCOM 301
MCOM 414
MCOM 409
MCOM 498
MCOM 499
MCOM 202
MCOM 302
MCOM 401
MCOM 402
MCOM 410","MCOM 101
MCOM 110
MCOM 195
MCOM 200
MCOM 203
MCOM 207
MCOM 290
MCOM 303
MCOM 304
MCOM 308
MCOM 310
MCOM 315
MCOM 350
MCOM 400
MCOM 403
MCOM 404
MCOM 412
MCOM 413
MCOM 415
MCOM 430",48,30,18,16,10,6